No.,Time,Source,Destination,Protocol,Classification,Length,Info
1,0,2001:4958:304::b896:461b,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,443  >  58013 [RST] Seq=1 Win=65535 Len=0
2,3.269621,fe80::44cb:583a:921a:9287,fe80::f421:caff:fecb:6b64,DNS,Benign,107,Standard query 0x4fda AAAA safebrowsing.googleapis.com
3,3.270783,fe80::44cb:583a:921a:9287,fe80::f421:caff:fecb:6b64,DNS,Benign,107,Standard query 0xcc12 A safebrowsing.googleapis.com
4,3.27108,fe80::44cb:583a:921a:9287,fe80::f421:caff:fecb:6b64,DNS,Benign,107,Standard query 0xfc39 HTTPS safebrowsing.googleapis.com
5,3.314212,fe80::f421:caff:fecb:6b64,fe80::44cb:583a:921a:9287,DNS,Benign,135,Standard query response 0x4fda AAAA safebrowsing.googleapis.com AAAA 2607:f8b0:400b:802::200a
6,3.318362,fe80::f421:caff:fecb:6b64,fe80::44cb:583a:921a:9287,DNS,Benign,123,Standard query response 0xcc12 A safebrowsing.googleapis.com A 172.217.165.10
7,3.319894,fe80::f421:caff:fecb:6b64,fe80::44cb:583a:921a:9287,DNS,Benign,164,Standard query response 0xfc39 HTTPS safebrowsing.googleapis.com SOA ns1.google.com
8,3.320582,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:807::2003,TCP,Benign,74,"58022  >  80 [FIN, ACK] Seq=1 Ack=1 Win=512 Len=0"
9,3.320876,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TCP,Benign,86,58037  >  443 [SYN] Seq=0 Win=65330 Len=0 MSS=1390 WS=256 SACK_PERM
10,3.349023,2607:f8b0:400b:807::2003,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,80  >  58022 [ACK] Seq=1 Ack=2 Win=2560 Len=0
11,3.354496,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,86,"443  >  58037 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=256"
12,3.354606,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TCP,Benign,74,58037  >  443 [ACK] Seq=1 Ack=1 Win=131840 Len=0
13,3.355196,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TLSv1.3,Benign,653,Client Hello (SNI=safebrowsing.googleapis.com)
14,3.387099,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,443  >  58037 [ACK] Seq=1 Ack=580 Win=10484992 Len=0
15,3.412838,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TLSv1.3,Benign,1464,"Server Hello, Change Cipher Spec"
16,3.418605,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,1464,443  >  58037 [ACK] Seq=1391 Ack=580 Win=10485760 Len=1390 [TCP segment of a reassembled PDU]
17,3.418605,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,1464,443  >  58037 [ACK] Seq=2781 Ack=580 Win=10485760 Len=1390 [TCP segment of a reassembled PDU]
18,3.418605,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TLSv1.3,Benign,761,Application Data
19,3.418713,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TCP,Benign,74,58037  >  443 [ACK] Seq=580 Ack=4858 Win=131840 Len=0
20,3.422147,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TLSv1.3,Benign,148,"Change Cipher Spec, Application Data"
21,3.422456,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TLSv1.3,Benign,166,Application Data
22,3.422664,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TLSv1.3,Benign,990,Application Data
23,3.449143,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,443  >  58037 [ACK] Seq=4858 Ack=654 Win=10485504 Len=0
24,3.454158,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TLSv1.3,Benign,1056,"Application Data, Application Data"
25,3.454626,2605:b100:10b:a167:e022:133f:fb63:a03e,2607:f8b0:400b:802::200a,TLSv1.3,Benign,105,Application Data
26,3.45964,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TCP,Benign,74,443  >  58037 [ACK] Seq=5840 Ack=746 Win=10485504 Len=0
27,3.45964,2607:f8b0:400b:802::200a,2605:b100:10b:a167:e022:133f:fb63:a03e,TLSv1.3,Benign,105,Application Data
